2024-07-23 14:28:54.362 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-07-23 14:28:54.362 [info] Added views:workbench.panel.output in workbench.panel.output
2024-07-23 14:28:54.362 [info] Added views:terminal in terminal
2024-07-23 14:28:54.362 [info] Added views:outline in workbench.view.explorer
2024-07-23 14:28:54.362 [info] Added views:workbench.scm in workbench.view.scm
2024-07-23 14:28:54.362 [info] Added views:workbench.view.search in workbench.view.search
2024-07-23 14:28:54.362 [info] Added views:timeline in workbench.view.explorer
2024-07-23 14:28:54.362 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-07-23 14:28:54.613 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-07-23 14:28:55.953 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-23 14:28:56.896 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-07-23 14:29:00.036 [info] Removed views:workbench.explorer.fileView from workbench.view.explorer
2024-07-23 14:29:00.047 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-07-23 14:29:00.337 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-07-23 14:29:00.457 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-23 14:29:17.496 [info] Removed views:workbench.explorer.emptyView from workbench.view.explorer
2024-07-23 14:29:17.522 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-07-23 14:29:18.168 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-07-23 14:29:18.239 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-23 14:29:22.192 [info] Removed views:workbench.explorer.fileView from workbench.view.explorer
2024-07-23 14:29:22.203 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-07-23 14:29:22.568 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-07-23 14:29:22.694 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-23 14:29:32.946 [info] Removed views:workbench.explorer.emptyView from workbench.view.explorer
2024-07-23 14:29:32.965 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-07-23 14:29:33.531 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-07-23 14:29:33.620 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
